text,intent,text_entity
what is bitcoin,wiki_what,what is bitcoin
what is crypto currency,wiki_what,what is crypto currency
what is fixed assests,wiki_what,what is fixed assests
what is profit,wiki_what,what is profit
Define current?,wiki_what,Define current?
Explain balanced diet?,wiki_what,Explain balanced diet?
Explain battery?,wiki_what,Explain battery?
Explain bill?,wiki_what,Explain bill?
Explain computer?,wiki_what,Explain computer?
Explain cell?,wiki_what,Explain cell?
Explain constitution?,wiki_what,Explain constitution?
Explain composite number?,wiki_what,Explain composite number?
Explain class in java?,wiki_what,Explain class in java?
Explain class?,wiki_what,Explain class?
Explain clause?,wiki_what,Explain clause?
Explain cover letter?,wiki_what,Explain cover letter?
Explain compound?,wiki_what,Explain compound?
Explain constructor in java?,wiki_what,Explain constructor in java?
Explain chemotaxonomy?,wiki_what,Explain chemotaxonomy?
When is Diwali?,wiki_when,When is Diwali?
When can the president declare a state of emergency?,wiki_when,When can the president declare a state of emergency?
When did french revolution occur?,wiki_when,When did french revolution occur?
When was amazon founded?,wiki_when,When was amazon founded?
When was the kargil war?,wiki_when,When was the kargil war?
When was the battle of plassey fought?,wiki_when,When was the battle of plassey fought?
When was the first email sent?,wiki_when,When was the first email sent?
When was the chandraayan 2 launched?,wiki_when,When was the chandraayan 2 launched?
When was the first computer invented?,wiki_when,When was the first computer invented?
When was the constituition of India adopted?,wiki_when,When was the constituition of India adopted?
When was the first world war?,wiki_when,When was the first world war?
When is the olympics?,wiki_when,When is the olympics?
When is the lunar eclipse?,wiki_when,When is the lunar eclipse?
When are the peaches ready in Georgia?,wiki_when,When are the peaches ready in Georgia?
When are the mets playing?,wiki_when,When are the mets playing?
When are the next us elections?,wiki_when,When are the next us elections?
When do we take insulin?,wiki_when,When do we take insulin?
When do we take lcm?,wiki_when,When do we take lcm?
When are magentic tapes used?,wiki_when,When are magentic tapes used?
When are elections in Delhi?,wiki_when,When are elections in Delhi?
When is the world cup final?,wiki_when,When is the world cup final?
When is friendship day in 2020?,wiki_when,When is friendship day in 2020?
When is the next cricket match for India?,wiki_when,When is the next cricket match for India?
When is the next solar eclipse?,wiki_when,When is the next solar eclipse?
When is the birthday of google?,wiki_when,When is the birthday of google?
When is mother's day?,wiki_when,When is mother's day?
when is India's Independence day,wiki_when,when is India's Independence day
when is diwali,wiki_when,when is diwali
Which is the most beautiful state in India?,wiki_which,Which is the most beautiful state in India?
Which is the most reactive metal?,wiki_which,Which is the most reactive metal?
Which is the most poisonous snake in the world?,wiki_which,Which is the most poisonous snake in the world?
Which is the most expensive car ?,wiki_which,Which is the most expensive car ?
Which is the most spoken language in the world?,wiki_which,Which is the most spoken language in the world?
Which is the highest waterfall in the world?,wiki_which,Which is the highest waterfall in the world?
Which is the highest peak in the world?,wiki_which,Which is the highest peak in the world?
Which is the highest civilian award in India?,wiki_which,Which is the highest civilian award in India?
Which is the best tourist place in India?,wiki_which,Which is the best tourist place in India?
Which is the highest mountain in the world?,wiki_which,Which is the highest mountain in the world?
Which is the longest river in India?,wiki_which,Which is the longest river in India?
Which is smallest state in india?,wiki_which,Which is smallest state in india?
Which is the longest river in the world?,wiki_which,Which is the longest river in the world?
Which is the smallest country in the world?,wiki_which,Which is the smallest country in the world?
Which is the oldest language?,wiki_which,Which is the oldest language?
Which is the best mobile phone?,wiki_which,Which is the best mobile phone?
which is the largest ocean in India,wiki_which,which is the largest ocean in India
who is Indian Prime Minister,wiki_who,who is Indian Prime Minister
who is Indian President,wiki_who,who is Indian President
who is Narendra Modi,wiki_who,who is Narendra Modi
who is Barack Obama,wiki_who,who is Barack Obama
who is Nelson Mandela,wiki_who,who is Nelson Mandela
who is Donald Trump,wiki_who,who is Donald Trump
who is Michelle Obama,wiki_who,who is Michelle Obama
who is MS Dhoni,wiki_who,who is MS Dhoni
who is Lionel Messi,wiki_who,who is Lionel Messi
who is Cristiano Ronaldo,wiki_who,who is Cristiano Ronaldo
who is Manmohan Singh,wiki_who,who is Manmohan Singh
who is United Nations President,wiki_who,who is United Nations President
who is Graham Bell,wiki_who,who is Graham Bell
Elon Musk,wiki_who,Elon Musk
Alan Turing,wiki_who,Alan Turing
Ross Quillian,wiki_who,Ross Quillian
Marvin Minsky,wiki_who,Marvin Minsky
Nikola Tesla,wiki_who,Nikola Tesla
Michael Jackson,wiki_who,Michael Jackson
Galileo Galilei,wiki_who,Galileo Galilei
Martin Luther King,wiki_who,Martin Luther King
Queen Elizabeth II,wiki_who,Queen Elizabeth II
Bill Gates,wiki_who,Bill Gates
Charles Darwin,wiki_who,Charles Darwin
create a workspace,create_workspace,create a workspace
I want to create a workspace,create_workspace,I want to create a workspace
"Please, create a workspace",create_workspace,"Please, create a workspace"
new workspace,create_workspace,new workspace
create workspace,create_workspace,create workspace
create a project,create_project,create a project
I want to create a project,create_project,I want to create a project
"Please, create a project",create_project,"Please, create a project"
new project,create_project,new project
create project,create_project,create project
create a new project inside workspace1,create_project,create a new project inside workspace1
create a project under this workspace,create_project,create a project under this workspace
Import dataset,import_dataset,Import dataset
load dataset,import_dataset,load dataset
i want to import a dataset,import_dataset,i want to import a dataset
i would like to import a dataset,import_dataset,i would like to import a dataset
Please help me to import a dataset,import_dataset,Please help me to import a dataset
add dataset,import_dataset,add dataset
please help me to add dataset,import_dataset,please help me to add dataset
i want to add a dataset,import_dataset,i want to add a dataset
i want to use a dataset from my workspace,import_dataset,i want to use a dataset from my workspace
please import the sales dataset from my workspace ,import_dataset,please import the sales dataset from my workspace 
send the value drivers charts to arun and ashwin for reference,share_report,send the value drivers charts to arun and ashwin for reference
share this chart to pooja,share_report,share this chart to pooja
"forward this as a report to madu, arun and ashwin",share_report,"forward this as a report to madu, arun and ashwin"
send anomaly chart to bhavani and ishwarya,share_report,send anomaly chart to bhavani and ishwarya
send this to kavi,share_report,send this to kavi
what drives profit?,deepinsights,what drives profit?
what are the infuencing factors for total cost,deepinsights,what are the infuencing factors for total cost
influencers for profit,deepinsights,influencers for profit
what influences profit,deepinsights,what influencers for profit
driving factors for sales,deepinsights,driving factors for sales
what drives sales,deepinsights,what drives sales
factors for increase in sales,deepinsights,factors for increase in sales
factors for decrease in sales,deepinsights,factors for decrease in sales
factors for increase in profit,deepinsights,factors for increase in profit
factors for decrease in profit,deepinsights,factors for decrease in profit
display sales chart,show_chart,display [sales](chart_name) chart
show me comparison rate kpi,show_kpi,show me [comparison rate](kpi_name) kpi
